Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_gp,D/loss_cls,D/loss_dom,D/loss_rot,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom,G/loss_rot
0:00:07,100,-1.2155,-2.1587,1.3577,0.0569,2.7864,0.3432,1.9898,0.2484,1.4739,2.8139,0.3353
0:00:12,200,-1.1690,-1.4802,1.4352,0.0071,2.6261,0.3828,1.5197,0.1545,1.6393,2.5685,0.3723
0:00:17,300,-1.9571,-0.2678,1.3320,0.0261,2.7198,0.2672,0.5339,0.1542,1.3918,2.6742,0.2516
0:00:21,400,-0.1469,-1.6725,1.4392,0.0031,2.6430,0.0788,1.5696,0.1196,1.4504,2.6298,0.1010
0:00:26,500,-0.4847,-1.4826,1.3705,0.0069,2.7522,0.1119,1.3964,0.1091,1.4488,2.7263,0.1046
0:00:31,600,-1.3820,-1.0724,1.4716,0.0489,2.7229,0.2334,1.0991,0.1668,1.3666,2.6761,0.3286
0:00:35,700,-0.7105,-1.6891,1.3263,0.0389,2.6552,0.2504,1.6100,0.1420,1.3157,2.6007,0.2588
0:00:41,800,-0.5478,-1.5910,1.2866,0.0113,2.7581,0.0744,1.6021,0.1119,1.3764,2.7017,0.0742
0:00:45,900,-0.1226,-1.7061,1.3336,0.0153,2.7084,0.1285,1.7355,0.1373,1.3568,2.6901,0.2010
0:00:50,1000,-0.5898,-1.3488,0.9315,0.0017,2.6820,0.0405,1.3126,0.1324,1.2489,2.6954,0.0306
0:01:07,1100,-0.6471,-1.3966,0.8820,0.0046,2.4879,0.3937,1.3893,0.1306,1.1678,2.6951,0.4132
0:01:12,1200,-0.4114,-1.4701,1.1350,0.0154,2.8312,0.1815,1.4271,0.1348,1.2489,2.7961,0.1468
0:01:17,1300,-0.1272,-1.0476,0.7816,0.0035,2.6580,0.0051,1.2009,0.1342,1.2032,2.6491,0.0348
0:01:22,1400,-0.0767,-1.3260,0.9665,0.0045,2.6298,0.0683,1.2713,0.1523,0.7341,2.7272,0.0852
0:01:27,1500,-0.5531,-1.1284,0.8401,0.0013,2.6384,0.0393,1.2046,0.1426,0.8886,2.4974,0.0692
0:01:32,1600,-0.6358,-0.1693,0.6670,0.0082,2.7581,0.1113,0.1433,0.1282,0.6570,2.7735,0.1235
0:01:37,1700,-0.3558,-0.1798,0.7375,0.0047,2.6853,0.0152,0.1309,0.1095,0.6746,2.7824,0.0152
0:01:42,1800,-0.4240,-0.5381,0.8965,0.0143,2.6914,0.0065,0.4464,0.1216,0.9166,2.7254,0.0260
0:01:47,1900,-0.6614,-0.0429,0.8277,0.0180,2.7116,0.0097,0.1084,0.1158,0.5643,2.6431,0.0591
0:01:52,2000,-0.4307,-0.2276,0.7708,0.0125,2.6676,0.0139,0.1510,0.1366,0.7118,2.8902,0.1561
0:02:08,2100,-0.5312,-0.3901,0.7591,0.0082,2.7127,0.0111,0.3667,0.1528,0.6465,2.7063,0.1291
0:02:13,2200,-0.6548,0.1023,0.9370,0.0103,2.8600,0.0652,-0.1305,0.1214,0.7760,2.8378,0.1623
0:02:18,2300,-0.8024,-0.0387,0.7540,0.0045,2.6272,0.3295,-0.0008,0.1065,0.6818,2.8123,0.3308
0:02:23,2400,-1.0962,-0.2659,0.9436,0.0172,2.4247,0.0011,0.2977,0.1451,0.6419,2.5950,0.0850
0:02:28,2500,-0.5874,-0.0853,0.6795,0.0157,2.6503,0.0098,0.1204,0.1308,0.6152,2.7352,0.0247
0:02:33,2600,-0.7521,-0.0716,0.8874,0.0018,2.5844,0.2029,0.1110,0.1067,1.0261,2.7734,0.2280
0:02:38,2700,-1.1170,-0.0268,0.9276,0.0084,2.7160,0.0066,-0.0261,0.1279,0.9221,2.9401,0.0621
0:02:43,2800,-0.9078,-0.0966,1.0247,0.0066,2.6624,0.0358,0.1244,0.1159,0.7644,2.6051,0.0305
0:02:48,2900,-0.8283,-0.0039,0.4331,0.0046,2.6609,0.3005,0.0124,0.1147,0.4837,2.9519,0.2798
0:02:53,3000,-0.8662,-0.0532,0.8214,0.0128,2.7373,0.0013,0.1007,0.1195,0.7694,2.9106,0.0231
0:03:10,3100,-0.7618,0.2634,0.6414,0.0030,2.4429,0.0954,-0.1965,0.1128,0.6880,2.5666,0.0866
0:03:15,3200,-0.5370,-0.0477,0.7543,0.0100,2.8162,0.5876,-0.3303,0.1437,1.0078,2.6723,0.1392
0:03:20,3300,-0.6652,0.0907,0.9435,0.0007,2.5525,0.0431,-0.1532,0.0872,0.6940,2.6400,0.0436
0:03:25,3400,-0.6731,-0.0690,0.6553,0.0049,2.5934,0.0022,0.0398,0.1223,0.6664,2.7941,0.0140
0:03:30,3500,-0.4433,-0.0814,0.8206,0.0012,2.6220,0.2893,0.0014,0.0881,0.6368,2.9553,0.2698
0:03:35,3600,-0.6024,-0.2451,0.8321,0.0054,2.4626,0.0106,0.2350,0.1174,0.6754,2.5387,0.1340
0:03:40,3700,-0.4909,-0.0160,0.8591,0.0006,2.5184,0.2533,0.0769,0.0759,0.6262,2.4795,0.2398
0:03:45,3800,-0.7454,0.3128,0.8472,0.0074,2.6814,0.3738,-0.2508,0.0790,0.7158,2.7280,0.3616
0:03:50,3900,-0.6362,-0.0665,0.8395,0.0094,2.6598,0.0661,0.0548,0.1168,0.6067,2.6278,0.0921
0:03:56,4000,-0.5145,0.1132,0.8276,0.0035,2.4342,0.1117,-0.1491,0.0904,0.5898,2.6182,0.0781
0:04:13,4100,-0.4549,-0.1295,0.8067,0.0057,2.7748,0.0016,0.1348,0.1105,1.0703,2.8655,0.0075
0:04:18,4200,-0.6265,0.1415,0.7368,0.0049,2.7070,0.2133,-0.0957,0.1011,0.6644,2.6129,0.2008
0:04:23,4300,-0.4109,-0.1591,0.6742,0.0051,2.7468,0.0007,0.1154,0.1099,0.4418,2.8283,0.0037
0:04:28,4400,-0.4321,-0.1215,0.7424,0.0037,2.5996,0.0012,0.0010,0.1080,1.6190,2.7236,0.0017
0:04:33,4500,-0.5962,0.1016,0.9171,0.0045,2.6686,0.1818,-0.1459,0.0966,0.7023,2.6988,0.1749
0:04:38,4600,-0.8724,0.2106,0.8720,0.0071,2.6205,0.0775,-0.3278,0.0818,0.7151,2.6785,0.0644
0:04:43,4700,-0.6806,-0.0793,0.7191,0.0050,2.6646,0.0091,0.0498,0.1047,0.5614,2.6091,0.0174
0:04:48,4800,-0.4299,-0.1465,0.6362,0.0084,2.5279,0.3375,0.0557,0.1024,0.6192,3.0589,0.3207
0:04:53,4900,-0.8168,0.2897,0.6700,0.0025,2.8126,0.0775,-0.2930,0.0989,0.5637,2.8968,0.0780
0:04:58,5000,-0.5941,0.2183,0.9474,0.0020,2.4159,0.1258,-0.0981,0.0871,0.7995,2.7213,0.1189
0:05:14,5100,-0.4216,0.4601,1.1766,0.0226,2.4609,0.2901,-0.8507,0.0750,0.8632,2.3443,0.2543
0:05:19,5200,-0.7521,0.5024,0.8641,0.0059,2.6693,0.1545,-0.3971,0.0957,0.5292,2.6560,0.1104
0:05:24,5300,-0.5765,0.3887,0.9276,0.0027,2.6714,0.3553,-0.2632,0.0606,0.8208,2.6627,0.3363
0:05:29,5400,-0.5927,-0.3171,0.6121,0.0035,2.6274,0.0047,0.3110,0.1266,0.8565,2.5657,0.0453
0:05:34,5500,-0.4984,-0.2335,0.6512,0.0120,2.4773,0.0031,0.2129,0.1241,0.4479,2.8121,0.0154
0:05:39,5600,0.0556,-0.2495,1.6768,0.0036,2.6912,0.2979,0.1018,0.0712,0.6120,2.7568,0.3010
0:05:44,5700,-0.2025,-0.0055,0.7991,0.0019,2.5557,0.1840,0.1087,0.0874,0.4907,2.5745,0.1866
0:05:49,5800,-0.7038,-0.0411,0.6896,0.0059,2.4351,0.0037,0.0366,0.1168,0.6556,2.6931,0.0147
0:05:54,5900,-0.6971,-0.2445,0.7280,0.0290,2.3461,0.0035,0.2497,0.1210,0.6589,2.7723,0.0355
0:05:59,6000,-0.3029,0.0429,0.4736,0.0018,2.3114,0.2643,0.0753,0.0723,1.1017,2.7327,0.2592
0:06:16,6100,-0.1688,0.0634,1.0418,0.0034,2.7538,0.1126,0.0922,0.0701,0.6605,2.7207,0.1028
0:06:21,6200,-0.1066,-0.3047,0.6044,0.0046,2.6797,0.0275,0.2011,0.0879,0.4563,2.8249,0.0241
0:06:26,6300,-0.4269,0.0674,0.7665,0.0034,2.3494,0.3529,-0.0794,0.0704,0.4919,2.5182,0.3421
0:06:31,6400,-0.5094,0.1384,0.7367,0.0048,2.4531,0.0518,-0.1774,0.0748,0.5878,2.4023,0.0544
0:06:36,6500,-0.6499,0.0536,0.7089,0.0048,2.2707,0.0063,-0.0761,0.0919,0.6938,2.4305,0.0185
0:06:41,6600,-0.4530,-0.0166,0.6275,0.0028,2.5956,0.0019,-0.0158,0.0923,0.5898,2.8000,0.0027
0:06:46,6700,-0.5643,0.1598,0.6120,0.0201,2.6779,0.1323,-0.0907,0.0897,0.7022,3.1854,0.1181
0:06:51,6800,-0.4254,0.2360,0.5129,0.0065,2.1744,0.1539,-0.2398,0.0887,0.5061,2.6991,0.1456
0:06:56,6900,-0.4812,0.0608,0.4695,0.0040,1.8818,0.2997,-0.0818,0.0828,0.3090,2.4488,0.2937
0:07:01,7000,-0.3873,0.0355,0.5108,0.0030,2.1502,0.3595,-0.0451,0.0757,0.4071,2.4965,0.3717
0:07:17,7100,-0.8419,0.1512,0.6849,0.0030,2.3670,0.0007,-0.1590,0.0937,0.6553,2.7896,0.0089
0:07:22,7200,-0.2486,-0.0187,0.6917,0.0052,2.3405,0.0196,-0.0486,0.0704,0.5624,2.7187,0.0126
0:07:26,7300,-0.7317,-0.0348,0.8451,0.0123,2.0781,0.0031,0.0688,0.0956,0.5660,2.6136,0.0237
0:07:32,7400,-0.4164,0.0620,0.5289,0.0014,1.9889,0.2515,-0.0444,0.0801,0.4751,2.6526,0.2362
0:07:36,7500,-0.5015,0.1653,0.8485,0.0026,2.3094,0.0259,-0.2206,0.0722,0.6316,2.8295,0.0233
0:07:41,7600,-0.9152,0.2577,0.8783,0.0016,2.4926,0.0003,-0.1806,0.1189,0.8141,2.5807,0.0563
